date,temperature,humidity,wind_speed,outlook
2022-02-19,28.4,71.29,9.17,sunny
2022-02-20,27.6,76.75,11.55,sunny
2022-02-21,27.25,75.46,7.35,rainy
2022-02-22,27.14,76.54,7.3,sunny
2022-02-23,27.62,74.83,6.54,sunny
2022-02-24,27.29,66.0,8.62,sunny
2022-02-25,27.78,56.54,9.27,sunny
2022-02-26,28.28,59.88,8.5,sunny
2022-02-27,28.9,59.33,10.77,sunny
2022-02-28,29.15,58.83,10.86,sunny
2022-03-01,29.23,58.33,10.01,sunny
2022-03-02,28.57,58.62,8.66,sunny
2022-03-03,29.1,62.29,8.2,sunny
2022-03-04,29.42,59.25,10.11,sunny
2022-03-05,29.37,64.08,11.72,sunny
2022-03-06,29.0,65.38,12.61,sunny
2022-03-07,28.76,66.71,10.93,sunny
2022-03-08,28.33,63.67,9.47,sunny
2022-03-09,28.43,62.29,9.81,sunny
2022-03-10,27.32,66.92,9.98,sunny
2022-03-11,28.43,63.33,8.6,sunny
2022-03-12,28.46,65.71,9.1,sunny
2022-03-13,29.25,66.21,12.93,rainy
2022-03-14,28.97,70.96,13.42,sunny
2022-03-15,28.82,71.75,13.22,sunny
2022-03-16,28.7,70.0,12.5,sunny
2022-03-17,29.08,68.54,9.97,sunny
2022-03-18,29.0,72.17,8.88,sunny
2022-03-19,28.37,74.21,9.95,sunny
2022-03-20,28.7,74.12,10.82,sunny
2022-03-21,28.31,74.54,15.18,sunny
2022-03-22,27.65,78.29,12.28,rainy
2022-03-23,28.27,77.42,9.6,sunny
2022-03-24,28.34,77.92,11.47,sunny
2022-03-25,29.38,72.38,12.82,sunny
2022-03-26,29.68,70.83,7.71,sunny
2022-03-27,29.32,71.33,8.07,sunny
2022-03-28,28.61,73.62,7.44,rainy
2022-03-29,27.57,79.58,6.43,rainy
2022-03-30,27.75,78.79,9.36,rainy
2022-03-31,26.45,84.88,7.54,rainy
2022-04-01,25.88,87.0,10.58,rainy
2022-04-02,27.34,81.29,11.08,sunny
2022-04-03,25.75,83.25,7.52,rainy
2022-04-04,25.89,82.79,6.29,rainy
2022-04-05,26.3,84.08,5.05,rainy
2022-04-06,26.99,81.92,5.75,sunny
2022-04-07,26.58,85.54,6.92,sunny
2022-04-08,27.04,77.62,8.52,sunny
2022-04-09,27.13,79.29,7.36,sunny
2022-04-10,26.87,79.79,8.02,rainy
2022-04-11,27.17,81.25,9.44,sunny
2022-04-12,27.25,81.83,7.28,sunny
2022-04-13,28.16,80.88,7.32,sunny
2022-04-14,28.19,80.92,6.38,rainy
2022-04-15,27.31,85.17,7.34,rainy
2022-04-16,27.01,86.0,7.2,rainy
2022-04-17,27.78,81.29,11.15,sunny
2022-04-18,28.46,75.38,10.91,sunny
2022-04-19,28.48,75.21,7.77,sunny
2022-04-20,28.04,78.92,7.61,sunny
2022-04-21,28.75,73.54,10.83,sunny
2022-04-22,28.98,73.5,9.99,sunny
2022-04-23,29.1,76.29,10.38,sunny
2022-04-24,28.94,79.38,8.43,rainy
2022-04-25,28.96,78.25,10.73,sunny
2022-04-26,28.72,77.42,7.32,sunny
2022-04-27,30.02,72.71,6.26,sunny
2022-04-28,29.54,74.08,12.34,sunny
2022-04-29,25.6,87.42,6.51,rainy
2022-04-30,26.56,85.83,8.23,rainy
2022-05-01,26.86,87.0,8.83,rainy
2022-05-02,27.07,85.29,8.17,rainy
2022-05-03,26.16,87.0,7.88,rainy
2022-05-04,26.67,85.12,5.19,rainy
2022-05-05,27.52,82.75,8.14,rainy
2022-05-06,27.84,82.0,12.67,rainy
2022-05-07,28.23,78.08,11.21,rainy
2022-05-08,27.14,83.88,11.9,rainy
2022-05-09,28.28,81.38,12.99,sunny
2022-05-10,27.88,84.79,8.86,rainy
2022-05-11,28.4,85.08,8.03,rainy
2022-05-12,27.55,85.62,5.31,rainy
2022-05-13,28.38,85.21,6.65,sunny
2022-05-14,28.56,84.88,7.01,sunny
2022-05-15,28.82,83.33,7.94,rainy
2022-05-16,26.71,88.54,6.78,rainy
2022-05-17,26.68,87.21,5.44,rainy
2022-05-18,26.72,87.5,6.11,rainy
2022-05-19,26.38,89.38,4.42,rainy
2022-05-20,27.85,85.0,6.38,rainy
2022-05-21,27.64,85.88,8.4,rainy
2022-05-22,26.76,88.29,10.62,rainy
2022-05-23,26.6,87.71,12.15,sunny
2022-05-24,28.15,82.46,8.42,sunny
2022-05-25,28.06,83.62,8.77,rainy
2022-05-26,27.3,86.42,7.53,rainy
2022-05-27,26.59,88.38,7.63,rainy
2022-05-28,25.94,88.92,11.22,rainy
2022-05-29,26.43,87.67,10.62,rainy
2022-05-30,26.62,88.17,7.16,rainy
2022-05-31,27.52,86.5,5.16,rainy
2022-06-01,26.75,89.62,6.71,rainy
2022-06-02,26.76,86.12,7.14,rainy
2022-06-03,26.57,87.21,6.7,rainy
2022-06-04,26.48,86.42,5.38,rainy
2022-06-05,27.46,82.71,7.97,sunny
2022-06-06,27.81,83.67,7.91,sunny
2022-06-07,27.25,86.42,5.37,rainy
2022-06-08,27.74,82.38,5.75,sunny
2022-06-09,28.43,80.29,4.9,sunny
2022-06-10,27.01,87.04,4.6,rainy
2022-06-11,28.04,81.12,4.63,sunny
2022-06-12,27.08,85.75,4.78,rainy
2022-06-13,27.51,84.79,5.59,sunny
2022-06-14,28.06,82.42,6.3,sunny
2022-06-15,27.83,83.92,4.85,rainy
2022-06-16,27.65,84.29,4.21,sunny
2022-06-17,27.38,85.5,4.48,rainy
2022-06-18,27.77,83.25,5.4,rainy
2022-06-19,27.28,84.17,6.2,sunny
2022-06-20,27.23,86.92,5.16,rainy
2022-06-21,26.44,85.62,5.92,rainy
2022-06-22,26.87,86.58,5.98,rainy
2022-06-23,26.83,86.88,5.94,rainy
2022-06-24,26.61,88.0,5.38,rainy
2022-06-25,26.85,85.62,6.0,rainy
2022-06-26,27.4,85.04,4.81,rainy
2022-06-27,28.11,82.17,5.52,rainy
2022-06-28,26.41,86.75,5.38,rainy
2022-06-29,27.8,85.0,7.59,rainy
2022-06-30,27.08,87.08,12.59,rainy
2022-07-01,26.64,88.42,10.2,rainy
2022-07-02,26.83,88.0,11.02,rainy
2022-07-03,27.04,88.83,8.02,rainy
2022-07-04,27.38,87.21,8.9,rainy
2022-07-05,27.22,86.79,9.46,rainy
2022-07-06,27.16,88.21,8.2,rainy
2022-07-07,27.25,84.75,10.59,sunny
2022-07-08,26.5,89.79,8.52,rainy
2022-07-09,26.42,89.12,8.09,rainy
2022-07-10,26.19,87.21,11.6,rainy
2022-07-11,26.32,86.67,11.26,rainy
2022-07-12,25.75,89.67,11.95,rainy
2022-07-13,26.03,87.21,13.63,rainy
2022-07-14,26.8,83.83,11.11,rainy
2022-07-15,26.42,88.58,10.09,rainy
2022-07-16,27.05,86.88,7.98,rainy
2022-07-17,26.55,88.21,8.42,rainy
2022-07-18,27.21,85.5,8.66,rainy
2022-07-19,26.97,87.12,8.07,rainy
2022-07-20,26.18,90.33,8.83,rainy
2022-07-21,25.86,90.33,7.32,rainy
2022-07-22,27.68,80.21,5.35,sunny
2022-07-23,27.28,85.12,4.39,rainy
2022-07-24,27.96,81.29,7.52,sunny
2022-07-25,27.0,87.12,6.59,rainy
2022-07-26,27.12,87.0,5.98,rainy
2022-07-27,26.9,86.0,5.19,rainy
2022-07-28,27.24,86.38,4.82,sunny
2022-07-29,27.93,82.21,7.23,sunny
2022-07-30,27.71,83.58,7.28,rainy
2022-07-31,27.35,83.33,8.0,rainy
2022-08-01,26.6,86.58,6.21,rainy
2022-08-02,27.14,87.12,5.98,rainy
2022-08-03,26.56,87.62,6.3,rainy
2022-08-04,26.61,87.17,6.78,rainy
2022-08-05,26.75,85.71,8.75,rainy
2022-08-06,25.59,88.92,8.55,rainy
2022-08-07,26.05,87.42,11.68,rainy
2022-08-08,25.44,87.5,9.15,rainy
2022-08-09,25.89,86.71,10.98,rainy
2022-08-10,26.22,86.33,13.27,rainy
2022-08-11,26.06,87.33,9.58,rainy
2022-08-12,26.79,85.71,6.25,rainy
2022-08-13,28.05,78.0,7.18,sunny
2022-08-14,27.38,85.0,6.87,rainy
2022-08-15,26.52,88.17,6.73,rainy
2022-08-16,26.26,88.71,7.67,rainy
2022-08-17,26.95,86.79,7.88,sunny
2022-08-18,27.3,85.75,7.09,rainy
2022-08-19,27.09,87.21,8.31,sunny
2022-08-20,26.83,88.17,8.55,rainy
2022-08-21,26.86,86.46,9.09,rainy
2022-08-22,27.08,86.0,7.76,rainy
2022-08-23,26.65,88.17,5.42,rainy
2022-08-24,27.29,85.46,8.04,rainy
2022-08-25,26.44,87.88,9.33,rainy
2022-08-26,26.0,89.96,7.18,rainy
